SECTION,ASSET TYPE,ASSET NAME,GROWN BRILLIANCE (What they have),JEWEL-STONE CURRENT STATE,STATUS,QTY NEEDED,DIMENSIONS / FORMAT,PRIORITY,AI IMAGE/VIDEO PROMPT (Google Imagen / Veo),NOTES
,Social Media,Instagram story template – promotion,Story format for discount/offer,Not present,✗ Missing,3,JPG/PNG 1080×1920 story format,🟡 Important,"Luxury jewelry brand Instagram story template design: vertical format, deep navy or charcoal background, elegant diamond ring or pendant centered, minimal gold serif typography space at top and bottom for promotional text overlay, editorial luxury aesthetic, no text (placeholder only)",
,Social Media,OG image / link preview,Website preview card when shared on social,Not configured,✗ Missing,1,JPG 1200×630,🔴 Critical,"Luxury jewelry brand website Open Graph preview image: elegant diamond ring on champagne background, brand logo space at top, tagline space at bottom, minimal and premium, suitable as social share preview card for a luxury jewelry website",Configure in next/head metadata
,,,,,,,,,,
TRUST & CERTIFICATION BADGES,,,,,,,,,
,Badge/Icon,GIA certification logo badge,GIA certification badge shown on PDPs,Icons from Lucide only,✗ Missing proper cert logos,2,PNG transparent 200×80,🟡 Important,N/A – source from GIA/IGI official brand assets,Download official GIA + IGI logos from their websites
,Badge/Icon,IGI certification logo badge,IGI badge,Not present,✗ Missing,1,PNG transparent 200×80,🟡 Important,N/A – official logo only,Official IGI logo asset
,Badge/Icon,Payment method icons (Visa/MC/Amex/PayPal),Payment icons in checkout/footer,Not configured in checkout,✗ Missing,8,PNG transparent 60×40 each,🟡 Important,N/A – use official payment brand assets,Use official payment brand icon assets (SVG sets available free)
,,,,,,,,,,
PACKAGING & UNBOXING,,,,,,,,,
,Packaging Image,Jewelry box / packaging photo,"Elegant branded box in editorial photo, ribbon, tissue paper",Not present,✗ Missing,2,JPG 1200×1200 square,🟡 Important,"Luxury jewelry unboxing flat lay photograph: an elegant matte black ring box tied with a champagne satin ribbon, small diamond stud earrings visible inside on cream velvet insert, placed on white marble surface with scattered rose petals, warm soft light, lifestyle gift photography, luxury brand packaging photography",For homepage trust section and gifting landing page
,,,,,,,,,,
REFERENCE-INSPIRED REDESIGN (2026-07-01),,,,,,,,,,
,Hero Image,Dark editorial portrait hero (rotation variant),Bold model portrait on dark background wearing statement piece — Noire Jewels reference,"Current hero is product-macro only, no model portrait variant",✗ Missing,1,JPG 2400×1500 landscape + 1200×1500 mobile crop,🟡 Important,"Ultra high-end editorial beauty portrait of an elegant woman with dramatic makeup against a deep charcoal-black background, wearing a bold diamond and rose-gold statement necklace and matching drop earrings, single warm rim light tracing her jawline and the diamonds, moody dramatic studio lighting, shallow depth of field, luxury fashion-editorial photography, no text, rose-gold and champagne tones only (no yellow or silver-heavy jewelry)",Use as an alternate/rotating hero slide alongside the current product-macro hero — inspired by the Noire Jewels reference image
,Graphic/Decorative,Ornamental gold accent motif (diamond scatter + corner frame),Fine gold linework with scattered diamond glyphs framing hero/section corners — ornate vintage banner reference,No decorative graphic layer exists site-wide,✗ Missing,1,"Transparent PNG/SVG, 2400×1500 + tileable corner corners 400×400",🟢 Nice-to-have,"Minimal fine-line gold ornamental graphic on transparent background: thin single-weight gold corner bracket flourish with 3–5 scattered small diamond/gem glyphs, art-deco inspired, rose-gold (#b87968) and champagne (#d9bfa4) tones, no background, no photography, clean vector illustration style","For subtle corner accents on the hero eyebrow badge and dark section dividers — do not overuse, one or two placements max to stay tasteful"
,Editorial Image,Editorial detail strip — 4 on-body lifestyle crops,"Tight 1:1 lifestyle detail crops of jewelry worn on body, laid out in a horizontal row — Velvora 'Editorial' strip reference","Existing homepage mosaic uses product-only macro shots, not on-body lifestyle",✗ Missing,4,JPG 800×800 each (4 total),🟡 Important,"Set of 4 luxury editorial macro photographs, each a different crop: (1) a woman's hand resting on bare shoulder wearing a rose-gold diamond tennis bracelet, (2) a woman's ear and jawline wearing a diamond drop earring against dark fabric, (3) a close neckline crop wearing a diamond halo pendant, (4) a hand gently touching a diamond ring on the other hand's finger — all warm rose-gold and champagne tones, dark neutral wardrobe, soft directional studio light, consistent luxury-editorial grading across all 4",Replaces or supplements the product-only 'Editorial Mosaic' section on the homepage with on-body imagery
,Collection Banner,Tennis Bracelets — on-wrist lifestyle (coming-soon upgrade),On-body lifestyle shot to eventually replace the JS 'Coming Soon' placeholder,Currently placeholder-coming-soon-portrait.jpg,✗ Missing,1,JPG 1200×1500 portrait,🟡 Important,"Luxury editorial photograph of a woman's wrist and forearm resting on cream linen, wearing a rose-gold diamond tennis bracelet, soft warm window light, shallow depth of field, minimal styling, no visible face, high-end jewelry editorial photography",Swap in once studio photography of the physical piece is ready — this is a placeholder-quality stand-in only
,Collection Banner,Necklaces — on-neck lifestyle (coming-soon upgrade),On-body lifestyle shot to eventually replace the JS 'Coming Soon' placeholder,Currently placeholder-coming-soon-portrait.jpg,✗ Missing,1,JPG 1200×1500 portrait,🟡 Important,"Luxury editorial photograph of a woman's neckline and collarbone wearing a rose-gold diamond tennis necklace, dark neutral wardrobe, warm dramatic side light, shallow depth of field, no visible face, high-end jewelry editorial photography",Swap in once studio photography of the physical piece is ready — this is a placeholder-quality stand-in only
HERO + FOOTER INTERACTIVE REDESIGN (2026-07-01),,,,,,,,,,
,Background Texture,Hero light ambient backdrop,No competitor reference has photographic ambient texture — most use flat color,"CSS-only rose-line grid pattern + radial rose blur, no photographic texture behind the two-column hero",✗ Missing,1,JPG 2800×1600 landscape (desktop) + 1200×1800 portrait crop (mobile),🟢 Nice-to-have,"Macro editorial photograph of luxuriously draped ivory and champagne silk fabric, softly rumpled and flowing diagonally from the lower-left corner, shot from directly above on a matte pale-blush surface. Warm diffused golden-hour studio light from a large softbox camera-left creates gentle highlight ridges along the folds and soft shadow valleys between them. In the upper-right third only, a sparse cluster of tiny out-of-focus warm-gold bokeh points drifts softly like dust motes catching light -- delicate and sparse, not a starburst or lens flare. The lower-left two-thirds of the frame stays nearly flat, smooth, and low-contrast, reserved as clean negative space for dark text overlay. Strict color palette: warm ivory #fbf7ef, champagne #d9bfa4, faint blush rose #b87968 -- no cool tones, no gray, no stark white. Shot on medium-format camera, 100mm macro lens, f/4, soft diffused studio lighting, shallow depth of field at fabric edges only, low overall contrast, pastel desaturation. Style: quiet-luxury editorial texture photography, like a Cartier or Chanel ad backdrop. Strictly no jewelry, no rings, no earrings, no necklaces, no gemstones, no diamonds, no people, no hands, no faces, no text, no letters, no logos, no watermark, no border, no frame, no vignette, no product of any kind -- background texture only, nothing else in frame.","Sits full-bleed behind the hero <section> content at ~15-20% opacity, layered under the existing rose-line CSS grid — must stay soft/low-contrast so the dark ink headline and copy on top stay fully legible"
,Graphic/Decorative,Ornamental gold corner accent (hero + card frames),Fine gold linework with scattered diamond glyphs framing corners — ornate vintage banner reference,No decorative graphic layer exists on the new hero composition,✗ Missing,1,"Transparent PNG/SVG, 800×800 (single corner motif, mirrorable via CSS transform)",🟢 Nice-to-have,"Single fine-line gold ornamental corner flourish isolated on a fully transparent PNG background (alpha channel), positioned in the bottom-left corner of an 800x800 canvas with the rest of the canvas completely empty and transparent. The motif is a thin hairline-width rose-gold line (#b87968) curling from the corner into a delicate art-deco bracket-and-scroll flourish, no taller or wider than 25% of the canvas. Along the line, 3 to 5 tiny faceted gem glyphs (simple geometric kite/marquise line-art outlines, not photorealistic diamonds) rendered in the same thin-line style with a soft low-opacity champagne fill #d9bfa4. Extremely minimal, elegant, sparse linework -- 1920s art-deco jewelry-box engraving, not a busy filigree pattern. Clean vector illustration style, crisp anti-aliased edges, no gradients, no drop shadow, no glow, absolutely no background color or texture (must composite cleanly over both light ivory and dark charcoal backgrounds). Strictly no text, no lettering, no realistic jewelry photography, no diamonds rendered photorealistically, no people, no other decorative elements outside this single corner motif, no full-frame border or repeating pattern -- one small isolated corner accent graphic only, everything else transparent.","For a subtle accent near the hero eyebrow badge and/or the bezel-outer frame corner on the main product image — one placement only, kept small and restrained"
,Background Texture,Footer moody ambient backdrop,Most competitor footers are flat dark color with no texture,Flat #0c0806 solid background behind the new large 'Jewel Stone' wordmark watermark,✗ Missing,1,JPG 2800×1200 landscape,🟢 Nice-to-have,"Macro editorial photograph of dark brushed charcoal-black velvet fabric (consistent single material, not marble), photographed from directly above under moody low-key studio lighting. Overall image reads as roughly 90% near-black (#0c0806 to #150f0c range) with subtle tonal variation only from the velvet nap catching faint ambient light. In the upper third of the frame only, spanning roughly the left 20% of the frame width, a soft sparse cluster of warm amber-gold out-of-focus bokeh dust drifts gently, fading to nothing by the horizontal center. The lower two-thirds and the entire horizontal center of the frame must stay completely dark, flat, smooth, and low-contrast near-black with no visible texture variation, reserved as clean negative space for a large light-colored serif wordmark and white text to sit on top with full legibility. Extremely subtle warm rose-gold #b87968 color cast in highlight areas only, otherwise desaturated near-black throughout. Shot on medium-format camera, 100mm macro lens, f/4, single soft key light from camera upper-left, moody low-key studio lighting, cinematic wide aspect ratio feel. Style: quiet-luxury editorial dark texture photography, like a De Beers or Cartier dark campaign backdrop. Strictly no jewelry, no rings, no earrings, no necklaces, no gemstones, no diamonds, no people, no hands, no faces, no text, no letters, no logos, no watermark, no visible border, no strong vignette, no product of any kind -- background texture only, nothing else in frame.",Sits full-bleed behind the footer's large low-opacity 'Jewel Stone' watermark text — must stay dark/low-contrast so the white link columns on top remain readable
